"","Country","Leage","Club","Name","Squad","XAge","Foreigners","MV","XMV"
"1","Argentina","Superliga","Club Atlético River Plate","River Plate",32,27.6,7,"€115.65m","€3.61m"
"2","Argentina","Superliga","Club Atlético Boca Juniors","Boca Juniors",31,26.6,6,"€91.30m","€2.95m"
"3","Argentina","Superliga","Club Atlético San Lorenzo de Almagro","San Lorenzo",32,26.8,4,"€64.40m","€2.01m"
"4","Argentina","Superliga","Racing Club","Racing Club",37,27.8,5,"€63.50m","€1.72m"
"5","Argentina","Superliga","Club Atlético Vélez Sarsfield","Vélez Sarsfield",29,25.3,5,"€61.35m","€2.12m"
"6","Argentina","Superliga","Club Atlético Independiente","Independiente",29,25.9,6,"€46.70m","€1.61m"
"7","Argentina","Superliga","Club Atlético Lanús","Lanús",29,26.5,1,"€40.05m","€1.38m"
"8","Argentina","Superliga","Club Atlético Talleres","CA Talleres",29,25.4,6,"€36.30m","€1.25m"
"9","Argentina","Superliga","Club Atlético Colón","CA Colón",27,26.8,3,"€28.25m","€1.05m"
"10","Argentina","Superliga","Club Deportivo Godoy Cruz Antonio Tomba","Godoy Cruz",33,24.1,6,"€27.85m","€844Th."
"11","Argentina","Superliga","Asociación Atlética Argentinos Juniors","Argentinos Jrs.",28,26.3,3,"€26.80m","€957Th."
"12","Argentina","Superliga","Club Atlético Banfield","CA Banfield",27,26.3,4,"€24.98m","€925Th."
"13","Argentina","Superliga","Club Estudiantes de La Plata","Estudiantes",28,25.7,3,"€23.83m","€851Th."
"14","Argentina","Superliga","Club Atlético Newell's Old Boys","Newell's",27,27.5,2,"€20.88m","€773Th."
"15","Argentina","Superliga","Club Atlético Rosario Central","CA Rosario",24,26.3,3,"€15.03m","€626Th."
"16","Argentina","Superliga","Defensa y Justicia","Defensa",17,26.9,3,"€10.53m","€619Th."
"17","Argentina","Superliga","Club Atlético Tucumán","CA Tucumán",19,29.1,0,"€10.28m","€541Th."
"18","Argentina","Superliga","Club Atlético Huracán","Huracán",19,24.7,3,"€9.98m","€525Th."
"19","Argentina","Superliga","Club de Gimnasia y Esgrima La Plata","Gimnasia",29,26.2,4,"€9.53m","€328Th."
"20","Argentina","Superliga","Club Atlético Unión","CA Unión",22,24.4,3,"€7.78m","€353Th."
"21","Argentina","Superliga","Club Atlético Patronato","CA Patronato",19,27.8,1,"€4.93m","€259Th."
"22","Argentina","Superliga","Club Atlético Aldosivi","Aldosivi",17,25.6,2,"€4.78m","€281Th."
"23","Argentina","Superliga","Club Atlético Central Córdoba (SdE)","Central Córdoba",16,29.3,2,"€4.30m","€269Th."
"24","Argentina","Superliga","Arsenal Fútbol Club","Arsenal FC",12,27.5,1,"€3.13m","€260Th."
"25","Brazil","Campeonato Brasileiro Série A","Clube de Regatas do Flamengo","Flamengo",32,25.8,2,"€120.18m","€3.76m"
"26","Brazil","Campeonato Brasileiro Série A","Sociedade Esportiva Palmeiras","Palmeiras",34,27.4,4,"€106.65m","€3.14m"
"27","Brazil","Campeonato Brasileiro Série A","Grêmio Foot-Ball Porto Alegrense","Grêmio",35,27.3,2,"€97.13m","€2.78m"
"28","Brazil","Campeonato Brasileiro Série A","Sport Club Corinthians Paulista","Corinthians",34,25.4,4,"€60.73m","€1.79m"
"29","Brazil","Campeonato Brasileiro Série A","São Paulo Futebol Clube","São Paulo",36,25.6,4,"€55.85m","€1.55m"
"30","Brazil","Campeonato Brasileiro Série A","Clube Atlético Mineiro","Atlético-MG",33,26.7,8,"€50.70m","€1.54m"
"31","Brazil","Campeonato Brasileiro Série A","Sport Club Internacional","Internacional",35,26.5,7,"€50.50m","€1.44m"
"32","Brazil","Campeonato Brasileiro Série A","Santos FC","Santos FC",35,25.3,5,"€49.80m","€1.42m"
"33","Brazil","Campeonato Brasileiro Série A","Fluminense Football Club","Fluminense",43,25.4,3,"€38.55m","€897Th."
"34","Brazil","Campeonato Brasileiro Série A","Club de Regatas Vasco da Gama","Vasco da Gama",41,24.9,3,"€33.23m","€810Th."
"35","Brazil","Campeonato Brasileiro Série A","Club Athletico Paranaense","Athletico-PR",42,25,4,"€33.13m","€789Th."
"36","Brazil","Campeonato Brasileiro Série A","Esporte Clube Bahia","EC Bahia",34,26.8,0,"€25.08m","€738Th."
"37","Brazil","Campeonato Brasileiro Série A","Botafogo Rio de Janeiro","Botafogo",35,25.5,7,"€23.03m","€658Th."
"38","Brazil","Campeonato Brasileiro Série A","Red Bull Bragantino","RB Bragantino",28,25.4,2,"€22.03m","€787Th."
"39","Brazil","Campeonato Brasileiro Série A","Goiás Esporte Clube","Goiás EC",29,26.9,5,"€17.75m","€612Th."
"40","Brazil","Campeonato Brasileiro Série A","Coritiba Foot Ball Club","Coritiba FC",33,27,0,"€16.40m","€497Th."
"41","Brazil","Campeonato Brasileiro Série A","Ceará Sporting Club","Ceará SC",35,28.3,1,"€16.30m","€466Th."
"42","Brazil","Campeonato Brasileiro Série A","Sport Club do Recife","Sport Recife",35,26.2,3,"€16.20m","€463Th."
"43","Brazil","Campeonato Brasileiro Série A","Fortaleza Esporte Clube","Fortaleza",29,28.9,2,"€14.33m","€494Th."
